term,estimate,std.error,statistic,p.value,conf.low,conf.high
treatmentTest,1.3425930037097646,0.2075496036035191,1.4194333132550663,0.15577272596683725,0.8938771525008186,2.0165589517165308
age,0.9913313166504782,0.009300299120314845,-0.9361499918610697,0.34919596671002917,0.973424778519701,1.0095672527120505
karno,0.9677172551166509,0.00550775688646227,-5.958020092532526,2.5531213362743472e-9,0.9573269251135825,0.9782203563734471
cell_typeSmall Cell,2.3668511966491383,0.27528447402269196,3.129709606084558,0.0017497918726483096,1.3799024498653942,4.059696094913026
cell_typeAdenocarcinoma,3.3070824781998063,0.3009169944930763,3.974738536098127,7.045661593852107e-5,1.833597533988815,5.964664717793456
cell_typeLarge Cell,1.4937528644670162,0.2826886382808546,1.419553529887464,0.155737702327392,0.8583289206649678,2.599583407226657
diagtime,1.0000813238196489,0.009136062247771973,0.008901046297715282,0.9928980863633277,0.9823328936994306,1.0181504260600338
prior_therapyYes,1.0742186949012775,0.23230538406730547,0.3081874412104159,0.7579397081631621,0.6813244978838664,1.6936801891895235
