term,estimate,std.error,statistic,p.value,conf.low,conf.high
treatmentTest,1.08705522121805,0.2175904578774875,0.3836216401744301,0.7012588984731769,0.7096403032345598,1.6651943929780382
age,1.0005087176050667,0.00993447042110808,0.05119429930081403,0.9591706943889339,0.981216043358606,1.0201807244991121
diagtime,1.000337086598307,0.010183141509572764,0.03309683922853938,0.9735973633008983,0.9805696890969132,1.020502976943527
prior_therapyYes,1.1079095144999143,0.24545945672036906,0.4174820589341533,0.676325844486301,0.6848079976166203,1.7924199141824466
