diabetes,n,mean_age,sd_age,median_age,mean_bmi,sd_bmi,median_bmi,mean_income_ratio,sd_income_ratio,median_income_ratio
No Diabetes,3638,48.55140186915887,17.455768272574808,48,29.254068169323805,7.1613294684432445,28.2,2.560343595382078,1.6112389731070627,2.16
Diabetes,701,63.47788873038517,12.233613370856595,65,32.484450784593434,7.838657001731139,31.3,2.474037089871612,1.5651493196842559,2
